Generation;AvgFitness;BestGenFitness;BestEverFitness;BestEverHH;BestEverOverlaps
0;0,020721;0,419539;0,419539;3;2
1;0,121574;0,772547;0,772547;2;1
2;0,268736;1,508306;1,508306;4;1
3;0,439506;2,100000;2,100000;2;0
4;0,545921;3,100000;3,100000;3;0
5;0,931115;3,100000;3,100000;3;0
6;0,650025;3,100000;3,100000;3;0
7;0,818048;3,100000;3,100000;3;0
8;0,764402;3,100000;3,100000;3;0
9;0,823911;3,100000;3,100000;3;0
10;0,967960;3,100000;3,100000;3;0
11;1,182439;3,100000;3,100000;3;0
12;1,256434;4,100000;4,100000;4;0
13;1,537661;4,100000;4,100000;4;0
14;1,252981;3,100000;4,100000;4;0
15;1,492585;4,100000;4,100000;4;0
16;1,712523;4,100000;4,100000;4;0
17;1,486405;5,100000;5,100000;5;0
18;1,746162;5,100000;5,100000;5;0
19;1,705474;5,100000;5,100000;5;0
20;1,790306;5,100000;5,100000;5;0
21;1,831286;5,100000;5,100000;5;0
22;1,738336;5,100000;5,100000;5;0
23;1,832986;5,100000;5,100000;5;0
24;1,816112;5,100000;5,100000;5;0
25;2,005093;5,100000;5,100000;5;0
26;1,862965;5,100000;5,100000;5;0
27;1,909742;5,100000;5,100000;5;0
28;2,147062;5,100000;5,100000;5;0
29;2,038626;5,100000;5,100000;5;0
30;2,343837;5,100000;5,100000;5;0
31;2,475012;5,100000;5,100000;5;0
32;2,585803;5,100000;5,100000;5;0
33;2,544717;6,100000;6,100000;6;0
34;1,987942;5,100000;6,100000;6;0
35;2,348111;6,100000;6,100000;6;0
36;2,242880;5,100000;6,100000;6;0
37;2,502601;5,100000;6,100000;6;0
38;2,470395;5,100000;6,100000;6;0
39;2,702766;5,100000;6,100000;6;0
40;2,440411;5,100000;6,100000;6;0
41;2,613515;5,100000;6,100000;6;0
42;2,716720;5,100000;6,100000;6;0
43;2,784766;5,100000;6,100000;6;0
44;2,522851;5,100000;6,100000;6;0
45;2,872595;5,100000;6,100000;6;0
46;2,891710;6,100000;6,100000;6;0
47;2,835901;6,100000;6,100000;6;0
48;2,831638;6,100000;6,100000;6;0
49;2,940022;6,100000;6,100000;6;0
50;2,628040;6,100000;6,100000;6;0
51;2,786418;6,100000;6,100000;6;0
52;3,026435;6,100000;6,100000;6;0
53;3,136345;6,100000;6,100000;6;0
54;2,812148;6,100000;6,100000;6;0
55;2,720839;6,100000;6,100000;6;0
56;2,669593;6,100000;6,100000;6;0
57;3,018786;6,100000;6,100000;6;0
58;2,935561;6,100000;6,100000;6;0
59;2,405457;6,100000;6,100000;6;0
60;2,483042;5,100000;6,100000;6;0
61;2,647521;5,100000;6,100000;6;0
62;2,949974;5,100000;6,100000;6;0
63;2,862879;5,100000;6,100000;6;0
64;2,301850;5,100000;6,100000;6;0
65;2,528228;6,100000;6,100000;6;0
66;2,803078;6,100000;6,100000;6;0
67;2,602780;6,100000;6,100000;6;0
68;2,737927;6,100000;6,100000;6;0
69;2,448794;6,100000;6,100000;6;0
70;2,796919;6,100000;6,100000;6;0
71;2,443932;6,100000;6,100000;6;0
72;2,747446;6,100000;6,100000;6;0
73;2,928537;5,100000;6,100000;6;0
74;2,642928;6,100000;6,100000;6;0
75;2,189696;5,100000;6,100000;6;0
76;1,969312;5,100000;6,100000;6;0
77;2,320049;5,100000;6,100000;6;0
78;2,643247;5,100000;6,100000;6;0
79;2,560794;5,100000;6,100000;6;0
80;2,389244;5,100000;6,100000;6;0
81;2,662514;5,100000;6,100000;6;0
82;2,261938;5,100000;6,100000;6;0
83;2,811705;5,100000;6,100000;6;0
84;2,583777;5,100000;6,100000;6;0
85;2,545228;5,100000;6,100000;6;0
86;2,496670;5,100000;6,100000;6;0
87;2,218415;5,100000;6,100000;6;0
88;2,038302;5,100000;6,100000;6;0
89;2,469684;5,100000;6,100000;6;0
90;2,309090;5,100000;6,100000;6;0
91;2,581600;6,100000;6,100000;6;0
92;2,583581;6,100000;6,100000;6;0
93;2,443468;6,100000;6,100000;6;0
94;2,212748;6,100000;6,100000;6;0
95;2,357068;6,100000;6,100000;6;0
96;2,213746;6,100000;6,100000;6;0
97;2,306439;5,100000;6,100000;6;0
98;2,874588;5,100000;6,100000;6;0
99;2,558382;5,100000;6,100000;6;0
100;2,434077;5,100000;6,100000;6;0
